                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                  0.597,                0.34576,                 0.9359,                0.95901,                      1,                  0.995,                 0.8955,                0.54514,                0.24484,                 1.0193,             0.00049527,             0.00049527,             0.00049527
                     73,                0.56692,                0.32136,                 0.9166,                0.95899,                      1,                  0.995,                 0.8955,                0.59018,                0.27546,                 1.0409,             0.00047876,             0.00047876,             0.00047876
                     74,                0.57746,                0.34314,                0.91472,                0.96496,                      1,                  0.995,                 0.8955,                0.63621,                0.25813,                   1.06,             0.00046226,             0.00046226,             0.00046226
                     75,                0.58972,                0.35206,                0.95459,                0.96602,                      1,                  0.995,                 0.8955,                 0.6202,                0.24257,                 1.0304,             0.00044576,             0.00044576,             0.00044576
                     76,                0.56209,                 0.3209,                0.92622,                0.95943,                      1,                  0.995,                 0.8955,                0.48971,                0.25891,                0.97264,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58453,                0.33787,                0.92367,                0.96893,                      1,                  0.995,                 0.8955,                0.49346,                0.25462,                0.97781,             0.00041275,             0.00041275,             0.00041275
                     78,                0.58657,                0.33632,                0.93173,                 0.9656,                      1,                  0.995,                 0.8955,                0.55598,                0.21903,                 1.0029,             0.00039625,             0.00039625,             0.00039625
                     79,                0.54577,                0.31949,                0.90817,                0.96254,                      1,                  0.995,                 0.8955,                0.55623,                0.22331,                  1.011,             0.00037974,             0.00037974,             0.00037974
                     80,                0.56768,                0.31187,                0.91733,                0.96258,                      1,                  0.995,                 0.8955,                0.54443,                0.23225,                 1.0045,             0.00036324,             0.00036324,             0.00036324
                     81,                0.57865,                0.32673,                0.91095,                0.96948,                      1,                  0.995,                 0.8955,                0.58696,                0.22399,                 1.0206,             0.00034674,             0.00034674,             0.00034674
                     82,                0.55995,                0.31631,                0.92568,                0.97065,                      1,                  0.995,                 0.8955,                0.59081,                0.23587,                  1.009,             0.00033023,             0.00033023,             0.00033023
                     83,                0.55495,                0.29325,                0.89473,                0.96482,                      1,                  0.995,                 0.8955,                0.60179,                 0.2748,                0.99693,             0.00031373,             0.00031373,             0.00031373
                     84,                0.53819,                0.29869,                0.91433,                 0.9607,                      1,                  0.995,                 0.8955,                 0.6611,                0.25334,                 1.0542,             0.00029723,             0.00029723,             0.00029723
                     85,                0.56661,                0.30489,                0.91223,                0.95661,                      1,                  0.995,                 0.8955,                0.63861,                0.24182,                  1.052,             0.00028072,             0.00028072,             0.00028072
                     86,                0.52263,                0.28622,                0.89795,                0.95871,                      1,                  0.995,                 0.8955,                0.57439,                0.22398,                 1.0081,             0.00026422,             0.00026422,             0.00026422
                     87,                0.52601,                0.28463,                 0.9019,                0.96445,                      1,                  0.995,                 0.8955,                0.54412,                0.24269,                0.99937,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.5251,                0.28956,                0.89804,                0.96522,                      1,                  0.995,                 0.8955,                0.51915,                0.20633,                0.97953,             0.00023121,             0.00023121,             0.00023121
                     89,                0.52119,                0.29443,                0.90035,                0.97883,                      1,                  0.995,                 0.8955,                0.47892,                0.21605,                 0.9539,             0.00021471,             0.00021471,             0.00021471
                     90,                0.48461,                0.25365,                0.89072,                0.97742,                      1,                  0.995,                 0.8955,                0.45283,                0.21724,                 0.9478,             0.00019821,             0.00019821,             0.00019821
                     91,                0.47987,                0.25322,                0.89948,                      1,                      1,                  0.995,                 0.8955,                0.43444,                0.20408,                0.94549,              0.0001817,              0.0001817,              0.0001817
                     92,                0.48611,                0.25872,                  0.909,                      1,                      1,                  0.995,                 0.8955,                0.41553,                0.18326,                  0.931,              0.0001652,              0.0001652,              0.0001652
                     93,                0.46733,                 0.2432,                0.89582,                0.98561,                      1,                  0.995,                 0.8955,                0.41661,                 0.1689,                0.91851,              0.0001487,              0.0001487,              0.0001487
                     94,                0.48453,                0.25828,                 0.9029,                0.98592,                      1,                  0.995,                 0.8955,                 0.4291,                0.16735,                 0.9275,             0.00013219,             0.00013219,             0.00013219
                     95,                0.45203,                0.23289,                0.88093,                0.98584,                      1,                  0.995,                 0.8955,                0.41833,                0.16249,                0.92512,             0.00011569,             0.00011569,             0.00011569
                     96,                0.45325,                0.23331,                0.88683,                 0.9859,                      1,                  0.995,                 0.8955,                0.41405,                0.16705,                0.92787,             9.9187e-05,             9.9187e-05,             9.9187e-05
